,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,name,person
85,85,2019-01-01 01:02:53,571365235126,fraud_VonRueden Group,grocery_net,89.35,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,bce01a6ae8b8c6227cd4f1de751c017c,1325379773,44.630758,-87.12389399999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
1045,1045,2019-01-01 13:04:25,571365235126,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,177.82,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,26e9b361f78724f145faedaaad9da0c3,1325423065,45.105736,-87.08646800000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
1456,1456,2019-01-01 16:03:12,571365235126,fraud_Hills-Witting,shopping_net,3.89,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,9c7f4171fce7111db34eb60f56d74b9b,1325433792,45.447156,-87.01898800000001,0,Barbara Taylor,Barbara Taylor 1995-07-12
1635,1635,2019-01-01 17:32:13,571365235126,"fraud_Cronin, Kshlerin and Weber",health_fitness,53.32,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,1f58f90aa5eb9c06f066da77aaea5821,1325439133,44.367747,-85.58629499999999,0,Barbara Taylor,Barbara Taylor 1995-07-12
2163,2163,2019-01-01 21:50:57,571365235126,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,1.03,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,b380b0a10b77b658ed90c3bdc51278f9,1325454657,45.106034,-86.367238,0,Barbara Taylor,Barbara Taylor 1995-07-12
2501,2501,2019-01-02 02:41:16,571365235126,"fraud_Connelly, Reichert and Fritsch",gas_transport,40.87,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,bee1f566f76e67dc69b386bbb702067f,1325472076,44.127338,-85.654905,0,Barbara Taylor,Barbara Taylor 1995-07-12
3178,3178,2019-01-02 18:00:54,571365235126,"fraud_Lowe, Dietrich and Erdman",kids_pets,5.03,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,f5c4fe8476b4092d3e9725d063ce1b62,1325527254,45.019896,-86.14321,0,Barbara Taylor,Barbara Taylor 1995-07-12
3752,3752,2019-01-03 05:25:23,571365235126,fraud_Huels-Hahn,gas_transport,36.45,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,2052cfc507e2ddebb3743e165fca0137,1325568323,43.652692,-85.721312,0,Barbara Taylor,Barbara Taylor 1995-07-12
4027,4027,2019-01-03 12:26:29,571365235126,fraud_Price Inc,shopping_net,4.42,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,bc262b605b3fe2f3910bffd632386e14,1325593589,43.959204,-86.423816,0,Barbara Taylor,Barbara Taylor 1995-07-12
4391,4391,2019-01-03 18:14:37,571365235126,fraud_Bode-Schuster,kids_pets,94.62,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,22fecef3ca5384e03fe044c2af8424ac,1325614477,44.371685,-86.823492,0,Barbara Taylor,Barbara Taylor 1995-07-12
